SITE,METER_READ_DATE,VOLUME_CONSUMPTION
Site1,20200305,17
Site1,20200306,16
Site1,20200307,18
Site1,20200308,15
Site1,20200309,13
Site1,20200310,12
Site1,20200311,12
Site1,20200312,11
Site1,20200313,10
Site1,20200314,11
Site1,20200315,7
Site1,20200316,8
Site1,20200317,8
Site1,20200318,9
Site1,20200319,12
Site1,20200320,9
Site1,20200321,6
Site1,20200322,10
Site1,20200323,11
Site1,20200324,10
Site1,20200325,8
Site1,20200326,7
Site1,20200327,9
Site1,20200328,15
Site1,20200329,13
Site1,20200330,13
Site1,20200331,19
Site1,20200401,17
Site2,20190402,3
Site2,20190403,3
Site2,20190404,3
Site2,20190405,4
Site2,20190406,3
Site2,20190407,4
Site2,20190408,3
Site2,20190409,2
Site2,20190410,3
Site2,20190411,2
Site2,20190412,3
Site2,20190413,4
Site2,20190414,5
Site2,20190415,5
,,
Site2,20190417,3
Site2,20190418,1
Site2,20190419,1
Site2,20190420,1
Site2,20190421,1
Site2,20190422,2
Site2,20190423,1
Site2,20190424,1
Site2,20190425,1
Site2,20190426,1
Site2,20190430,4
Site2,20190501,2
Site2,20190502,1
Site2,20190503,1
Site2,20190504,3
Site2,20190505,2
Site2,20190506,4
Site2,20190507,3
Site2,20190508,2
Site2,20190509,1
Site2,20190510,2
Site2,20190511,1
Site2,20190512,3
Site2,20190513,1
Site2,20190514,1
Site2,20190515,1
Site2,20190516,1
Site2,20190517,1
Site2,20190518,3
Site2,20190519,1
Site2,20190520,0
Site2,20190521,1
Site2,20190522,1
Site2,20190523,1
Site2,20190524,1
Site2,20190525,1
Site2,20190526,1
Site2,20190527,0
Site2,20190528,1
Site2,20190529,1
Site2,20190530,1
Site2,20190531,1
Site2,20190601,1
Site2,20190602,0
Site2,20190603,1
Site2,20190604,1
Site2,20190605,1
Site2,20190606,0
Site2,20190609,1
Site2,20190610,1
Site2,20190611,1
Site2,20190617,0
Site2,20190618,0
Site2,20190619,0
Site2,20190620,0
Site2,20190621,0
Site2,20190622,0
Site2,20190623,0
Site2,20190624,1
Site2,20190625,1
Site2,20190626,1
Site2,20190627,1
Site2,20190628,1
Site2,20190629,1
Site2,20190630,1
Site2,20190701,1
Site2,20190702,1
Site2,20190703,1
Site2,20190704,1
Site2,20190705,0
Site2,20190706,1
Site2,20190707,1
Site2,20190708,1
Site2,20190709,1
Site2,20190710,1
Site2,20190711,1
Site2,20190712,0
Site2,20190713,1
Site2,20190714,1
Site2,20190715,1
Site2,20190716,0
Site2,20190717,1
Site2,20190718,1
Site2,20190719,1
Site2,20190720,1
Site2,20190721,1
Site2,20190722,1
Site2,20190723,1
Site2,20190724,0
Site2,20190725,1
Site2,20190726,0
Site2,20190727,1
Site2,20190728,1
Site2,20190729,1
Site2,20190730,1
Site2,20190731,1
Site2,20190801,1
Site2,20190802,1
Site2,20190803,0
Site2,20190804,1
Site2,20190805,1
Site2,20190806,1
Site2,20190807,0
Site2,20190808,1
Site2,20190809,1
Site2,20190810,1
Site2,20190811,1
Site2,20190811,1
Site2,20190812,0
Site2,20190812,0
Site2,20190813,1
Site2,20190814,0
Site2,20190815,0
Site2,20190816,1
Site2,20190817,1
Site2,20190818,1
Site2,20190819,1
Site2,20190820,1
Site2,20190821,1
Site2,20190822,1
Site2,20190823,0
Site2,20190824,1
Site2,20190825,0
Site2,20190826,1
Site2,20190827,1
Site2,20190828,1
Site2,20190829,0
Site2,20190830,1
Site2,20190831,1
Site2,20190901,1
Site2,20190902,1
Site2,20190903,1
Site2,20190904,1
Site2,20190905,1
Site2,20190906,0
Site2,20190907,0
Site2,20190908,0
Site2,20190909,0
Site2,20190910,1
Site2,20190911,2
Site2,20190912,1
Site2,20190913,1
Site2,20190914,1
Site2,20190915,1
Site2,20190916,1
Site2,20190917,1
Site2,20190918,1
Site2,20190919,1
Site2,20190920,1
Site2,20190921,1
Site2,20190922,1
Site2,20190923,1
Site2,20190924,1
Site2,20190925,0
Site2,20190926,1
Site2,20190927,1
Site2,20190928,0
Site2,20190929,2
Site2,20190930,1
Site2,20191001,1
Site2,20191002,1
Site2,20191003,1
Site2,20191004,2
Site2,20191005,1
Site2,20191006,2
Site2,20191007,1
Site2,20191008,1
Site2,20191009,2
Site2,20191010,2
Site2,20191011,3
Site2,20191012,2
Site2,20191013,2
Site2,20191014,2
Site2,20191015,2
Site2,20191016,1
Site2,20191017,2
Site2,20191018,3
Site2,20191019,3
Site2,20191020,3
Site2,20191021,4
Site2,20191022,1
Site2,20191023,1
Site2,20191024,4
Site2,20191025,3
Site2,20191026,3
Site2,20191027,1
Site2,20191028,5
Site2,20191029,4
Site2,20191030,5
Site2,20191031,3
Site2,20191101,6
Site2,20191102,3
Site2,20191103,2
Site2,20191104,2
Site2,20191105,1
Site2,20191106,4
Site2,20191107,5
Site2,20191108,3
Site2,20191109,5
Site2,20191110,6
Site2,20191111,4
Site2,20191112,5
Site2,20191113,4
Site2,20191114,6
Site2,20191115,5
Site2,20191116,3
Site2,20191117,4
Site2,20191118,4
Site2,20191119,3
Site2,20191120,5
Site2,20191121,5
Site2,20191122,5
Site2,20191123,5
Site2,20191124,3
Site2,20191125,4
Site2,20191126,3
Site2,20191127,2
Site2,20191128,3
Site2,20191129,4
Site2,20191130,4
Site2,20191201,4
Site2,20191202,4
Site2,20191203,7
Site2,20191204,4
Site2,20191205,5
Site2,20191206,6
Site2,20191207,4
Site2,20191208,4
Site2,20191209,3
Site2,20191210,5
Site2,20191211,4
Site2,20191212,4
Site2,20191215,7
Site2,20191216,4
Site2,20191217,5
Site2,20191218,3
Site2,20191221,6
Site2,20191222,4
Site2,20191223,4
Site2,20191224,3
Site2,20191225,4
Site2,20191226,4
Site2,20191227,4
Site2,20191228,4
Site2,20191229,5
Site2,20191230,5
Site2,20191231,5
Site2,20200101,4
Site2,20200102,5
Site2,20200103,4
Site2,20200104,5
Site2,20200105,5
Site2,20200106,6
Site2,20200107,4
Site2,20200108,4
Site2,20200109,3
Site2,20200110,5
Site2,20200116,5
Site2,20200117,5
Site2,20200118,3
Site2,20200119,4
Site2,20200120,5
Site2,20200121,5
Site2,20200122,6
Site2,20200123,6
Site2,20200124,6
Site2,20200125,5
Site2,20200128,5
Site2,20200203,3
Site2,20200204,3
Site2,20200205,5
Site2,20200206,4
Site2,20200207,6
Site2,20200208,5
Site2,20200209,2
Site2,20200210,5
Site2,20200211,5
Site2,20200212,6
Site2,20200213,5
Site2,20200214,6
Site2,20200215,6
Site2,20200216,6
